# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
SetUIFloatAlt | NVSE | SetUIFloatAlt(traitName:string, newValue:float) -> bool | Sets the numeric value of a float UI trait. The trait name is of the format "MenuName/ElementName/ElementName/.../TraitName" as defined in the XML hierarchy for the desired menu, i.e. "MessageMenu/NoGlow_Branch/MM_Title/x". Returns 1 (true) on successful change, 0 (false) otherwise. *Prior to xNVSE 6.2.5, this function did not return anything. Supersedes SetUIFloat, which is bugged for templated children tiles | Functions (NVSE); UI Functions
SetUIFloatGradual | JIP | SetUIFloatGradual(componentPath:string, startValue:float?, endValue:float?, duration:float?, changeMode:int?) | Gradually changes the value of the specified UI component trait, first setting it to '<i>startValue</i>', then gradually increases/decreases it toward '<i>endValue</i>', in '<i>duration</i>' seconds (unaffected by Time Mult (GetGlobalTimeMultiplier)). This enables creating simple animations using UI tiles. *The 1st argument '<i>componentPath</i>' should be of the format "MenuName\TileName\...\TraitName", as defined in the XML hierarchy for the particular menu. *The last (5th) argument '<i>changeMode</i>' is optional, and may be used to toggle "special" change modes, as follows: <pre>0&#09;(Default) From startVal to endVal in duration. 1&#09;From startVal to endVal in duration/6, endVal for duration*2/3, back to startVal in duration/6. 2&#09;From startVal to endVal back to startVal, in duration, repeated perpetually. 3&#09;From startVal to endVal, in duration, repeated perpetually.</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
SetUIString | FOSE1 | SetUIString(traitName:string, newValue:string) | Sets the value of a string UI trait. Trait name is of the format used by GetUIFloat. | Functions_(FOSE); Functions_(NVSE); UI Functions; String Functions; Deprecated Functions
SetUIStringAlt | NVSE | SetUIStringAlt(TraitName:string, NewValue:string, <i>Formatting</i>:) -> bool | Sets the value of a string UI trait to a Formatted String. The trait name is of the format "MenuName/ElementName/ElementName/.../TraitName" as defined in the XML hierarchy for the desired menu, i.e. "MessageMenu/NoGlow_Branch/MM_Title/x". Returns 1 (true) on successful change, 0 (false) otherwise. *Prior to xNVSE 6.2.5, this function did not return anything. Supersedes SetUIString and SetUIStringEx, which are bugged for templated children tiles. | Functions (NVSE); UI Functions; String Functions
SetUIStringEx | NVSE | SetUIStringEx(TraitName:string, NewValue:string, <i>Formatting</i>:) -> None | Sets the value of a string UI trait. Trait name is of the format used by GetUIFloat. The path argument has two new capabilities. A path segment of "*" matches any child tile, and a path segment suffix of ":N" matches the N'th child tile. This is useful when accessing list box items, where the tile names are either identical, or unpredictable, or both. | Functions_(NVSE); UI Functions; String Functions; Deprecated Functions
SetValueAlt | JIP | SetValueAlt(baseItem:ref, newValue:int) -> oldValue:int | Similar to the NVSE SetBaseItemValue - sets the base value of the specified item. This function, however, also works on ingestible-type items. | Functions_(JIP); Inventory Functions (JIP); Object Functions
SetVariable | NVSE | ref.SetVariable(VarName:string, NewValue:float, Parent:Object?) -> none | Sets the value of the numeric variable specified by name for the calling reference or specified scriptable object. | Functions_(NVSE); Script Functions
SetVariableFloat | LU | [ref].SetVariableFloat(varname:string, value:float, quest:quest) -> float | Sets the value of a numerical variable by name in the script attached to a reference or quest. Deprecated by SetVariable in NVSE 4.5.6. | Deprecated Functions; Functions_(JIP)
SetVATSTargetable | JIP | reference.SetVATSTargetable(isTargetable:0/1) | Marks the calling actor as VATS targetable/non-targetable. *Non-tagetable actors will not be selectable in VATS mode. | Functions (JIP); Actor Functions (JIP); Actor Functions; VATS Functions
SetWaterFormEffect | JIP | SetWaterFormEffect(waterType:ref, actorEffect:ref) | Sets the 'Spell Effect' of the specified 'Water Type'. | Functions (JIP); Water Functions (JIP); Game Effect Functions
SetWaterNoiseTexture | JIP | SetWaterNoiseTexture(waterType:ref, texturePath:string) | Sets the 'Noise Texture' path of the specified 'Water Type'. | Functions (JIP); Water Functions (JIP)
SetWaterSound | JIP | SetWaterSound(waterType:ref, sound:ref) | Sets the 'Open Sound' of the specified 'Water Type'. | Functions (JIP); Water Functions (JIP); Sound Functions
SetWeaponActionPoints | FOSE1 | reference.SetWeaponActionPoints(float:float, weapon:baseform) (alias: SetAP) | Sets the number of action points per shot for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Actor Value Functions
SetWeaponAimArc | FOSE1 | weaponRefr.SetWeaponAimArc(aimArc:float, weapon:baseform) (alias: SetAimArc) | Sets the aim arc of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions
SetWeaponAmmo | FOSE1 | weaponRefr.SetWeaponAmmo(newAmmo:baseform, weapon:baseform) (alias: SetAmmo) | Sets the Ammo (or FormList of Ammo) for the target Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Ammo Functions
SetWeaponAmmoUse | FOSE1 | weaponRefr.SetWeaponAmmoUse(ammoUse:int, weapon:baseform) (alias: SetAmmoUse) | Sets the ammo use for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Ammo Functions; Weapon Functions
SetWeaponAnimationPath | kNVSE | SetWeaponAnimationPath(weapon:baseForm, firstPerson:0/1, enable:0/1, path:string) -> success:0/1 | Replaces an animation for a specified weapon base form. The anim group that is overridden is specified in the KF file of the given path. | Functions_(kNVSE); Animation Functions; Weapon Functions
SetWeaponAnimAttackMult | FOSE1 | weaponRefr.SetWeaponAnimAttackMult(animAttackMult:float, weapon:baseform) (alias: SetAnimAttackMult) | Sets the anim attack multiplier for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions
SetWeaponAnimMult | FOSE1 | refr.SetWeaponAnimMult(animMult:float, weapon:baseform) (alias: SetAnimMult) | Sets the animiation multiplier of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions
SetWeaponAttackAnimation | FOSE1 | weaponRefr.SetWeaponAttackAnimation(attackAnimation:int, weapon:baseform) (alias: SetAttackAnim) | Sets the attack animation for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Animation Functions
SetWeaponBaseVATSChance | FOSE1 | weaponRefr.SetWeaponBaseVATSChance(newVATSChance:int, weapon:baseform) (alias: SetVATSChance) | Sets the base VATS chance for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; VATS Functions
SetWeaponClipRounds | FOSE1 | weaponRefr.SetWeaponClipRounds(clipRounds:int, weapon:baseform) (alias: SetClipSize) | Sets the clip size for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions
SetWeaponCritChance | FOSE1 | weaponRefr.SetWeaponCritChance(critChance:float, weapon:baseform) (alias: SetCritPerc) | Sets the critical hit chance for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions
SetWeaponCritDamage | FOSE1 | weaponRefr.SetWeaponCritDamage(critDam:int, weapon:baseform) | Sets the critical hit damage for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions
SetWeaponCritEffect | FOSE1 | weaponRefr.SetWeaponCritEffect(magicItem:baseform, weapon:baseform) (alias: SetCritEffect) | Sets the critical hit Actor Effect for the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions; Game Effect Functions
SetWeaponCritFlags | LU | SetWeaponCritFlags(weapon:form, flags:int) | Set the critical flags of a weapon form. The only known weapon crit flag is 1: OnDeath. | Functions_(JIP); Weapon_Functions_(JIP); Weapon_Functions; Flag Functions
SetWeaponDetectionSoundLevel | JIP | SetWeaponDetectionSoundLevel(weapon:ref, newValue:int) -> soundLevel:int | Sets a weapon's detection sound level: <pre>0&#09;Loud 1&#09;Normal 2&#09;Silent</pre> | Functions_(JIP); Weapon Functions (JIP); Weapon Functions; Detection Functions; Sound Functions
SetWeaponFireRate | NVSE | reference.SetWeaponFireRate(FireRate:int, Weapon:form?) -> none (alias: SetFireRate) | Sets the fire rate for the specified weapon or calling reference. | Functions_(NVSE); Weapon Functions
SetWeaponFlag | ShowOff | weaponRefr.SetWeaponFlag(flagIndex:int, bFlagOn:1/0, weapon:baseForm?) -> 0/1 (alias: SetWeaponHasFlag) | Sets the weapon BaseForm's flag at flagIndex to be enabled/disabled, depending on bFlagOn; if bFlagOn is non-zero (true), then the flag will be enabled, and otherwise (0, false), it is disabled. If the function is called with a weapon reference (weaponRefr), its BaseForm is used. Returns 1 if the function was successful, 0 otherwise. | Functions (ShowOff NVSE); Weapon Functions; Bit Functions; Flag Functions
SetWeaponHandGrip | FOSE1 | refr.SetWeaponHandGrip(handGrip:int, weapon:baseform) (alias: SetHandGrip) | Sets the hand grip of the Weapon BaseForm. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions
SetWeaponHealthPerc | GECK1 | [actor:ref].SetWeaponHealthPerc(healthCondition:float) | Sets the current condition (health) of an actor's currently equipped weapon. | Functions (GECK); Object Functions
SetWeaponImpulseDistance | LU | SetWeaponImpulseDistance(weapon:form, value:float) | Sets the impulse distance value of a weapon form. Kill impulse affects how far an actor is pushed back when killed by the weapon. | Functions_(JIP); Weapon_Functions_(JIP); Weapon_Functions
SetWeaponIsAutomatic | FOSE1 | weaponRefr.SetWeaponIsAutomatic(isAutomatic:0/1, weapon:baseform) (alias: SetIsAutomatic) | Sets whether the Weapon BaseForm is an automatic weapon or not. If weapon is omitted and a calling reference is provided, that reference's BaseForm is used. | Functions (NVSE); Functions_(FOSE); Weapon Functions
SetWeaponItemMod | JIP | SetWeaponItemMod(weapon:ref, index:int, newItemMod:ref?) -> itemMod:ref | Sets a weapon's mod form at the specified index. | Functions_(JIP); Weapon Functions (JIP); Weapon Functions
SetWeaponItemModEffect | JIP | SetWeaponItemModEffect(weapon:ref, index:int, newEffectID:int) -> effectID:int | Sets a weapon's mod effect ID at the specified index. <u>Mod Effect IDs</u>: <pre>0&#09;None 1&#09;Increase Weapon Damage 2&#09;Increase Clip Capacity 3&#09;Decrease Spread 4&#09;Decrease Weight 6&#09;Regenerate Ammo 7&#09;Decrease Equip Time 8&#09;Increase Rate of Fire 9&#09;Increase Projectile Speed 10&#09;Increase Max. Condition 11&#09;Silence 12&#09;Split Beam 13&#09;VATS Bonus 14&#09;Increase Zoom (Scope)</pre> | Functions_(JIP); Weapon Functions (JIP); Weapon Functions
